product_category_name,success_delayed_cnt,cancel_delayed_cnt,total_payment_value,buyer_cnt
agro_industria_e_comercio,9,0,118730.61,181
alimentos,49,1,46428.67,445
alimentos_bebidas,17,2,27289.73,225
artes,15,1,30992.93,202
artes_e_artesanato,2,0,2326.17,21
artigos_de_festas,2,0,5966.31,39
artigos_de_natal,18,1,18994.77,128
audio,46,1,60324.62,349
automotivo,343,30,852294.33,3852
bebes,262,20,539845.66,2858
bebidas,20,1,71429.65,292
beleza_saude,857,36,1657373.12,8678
brinquedos,299,34,619037.69,3844
cama_mesa_banho,920,18,1712553.67,9145
casa_conforto,44,0,84329.06,396
casa_conforto_2,5,0,1710.54,23
casa_construcao,49,1,136645.29,489
cds_dvds_musicais,0,0,1199.43,12
cine_foto,5,0,9530.32,65
climatizacao,11,2,91170.66,251
consoles_games,85,10,195480.38,1058
construcao_ferramentas_construcao,74,2,241475.63,744
construcao_ferramentas_ferramentas,6,0,21069.07,97
construcao_ferramentas_iluminacao,30,2,72712.48,244
construcao_ferramentas_jardim,17,4,42394.41,191
construcao_ferramentas_seguranca,10,5,65691.03,166
cool_stuff,251,16,779698.0,3615
dvds_blu_ray,4,2,7935.28,58
eletrodomesticos,51,2,95532.27,703
eletrodomesticos_2,16,3,124563.45999999999,229
eletronicos,266,11,259857.1,2540
eletroportateis,39,8,225584.38,627
esporte_lazer,625,51,1392127.56,7515
fashion_bolsas_e_acessorios,124,6,218158.28,1798
fashion_calcados,15,2,32422.74,238
fashion_esporte,2,0,3645.92,27
fashion_roupa_feminina,3,0,5109.62,39
fashion_roupa_infanto_juvenil,0,0,785.67,8
fashion_roupa_masculina,7,1,17290.98,110
fashion_underwear_e_moda_praia,16,0,12714.539999999999,121
ferramentas_jardim,340,19,838280.75,3489
flores,1,0,2213.01,29
fraldas_higiene,1,1,4221.25,26
industria_comercio_e_negocios,20,0,56745.76,233
informatica_acessorios,594,46,1585330.45,6557
instrumentos_musicais,56,11,233074.12,624
la_cuisine,0,0,2913.53,13
livros_importados,2,0,6701.89,52
livros_interesse_geral,35,7,64694.76,506
livros_tecnicos,29,0,24915.44,259
malas_acessorios,58,4,187151.29,1028
market_place,13,1,45335.92,279
moveis_colchao_e_estofado,5,0,5998.54,38
moveis_cozinha_area_de_servico_jantar_e_jardim,12,2,74660.98,247
moveis_decoracao,688,36,1430176.39,6317
moveis_escritorio,149,1,646826.49,1264
moveis_quarto,8,0,31598.94,91
moveis_sala,39,2,136138.77,415
musica,3,0,6901.43,38
papelaria,198,12,317440.07,2296
pc_gamer,0,1,2174.43,8
pcs,13,0,279121.55,179
perfumaria,245,15,506738.66,3124
pet_shop,118,5,311268.97,1689
portateis_casa_forno_e_cafe,5,0,51229.32,75
portateis_cozinha_e_preparadores_de_alimentos,1,1,4335.65,14
relogios_presentes,485,21,1429216.68,5547
seguros_e_servicos,0,0,324.51,2
sinalizacao_e_seguranca,11,0,68488.05,139
tablets_impressao_imagem,6,0,10042.93,79
telefonia,369,18,486882.05,4152
telefonia_fixa,11,3,207010.26,217
utilidades_domesticas,441,49,1094758.13,5821
