customer_state,success_delayed_cnt,cancel_delayed_cnt,total_payment_value,buyer_cnt
AC,3,0,24984.86,77
AL,103,0,111284.42,399
AM,7,0,34753.3,142
AP,4,0,21642.7,67
BA,504,14,797410.36,3257
CE,218,4,343847.83,1305
DF,175,9,432623.73,2062
ES,272,8,405805.34,1956
GO,179,10,513879.0,1942
MA,163,4,198566.27,719
MG,703,56,2326151.64,11178
MS,88,1,164337.28,688
MT,70,1,256804.62,873
PA,131,1,261788.35,944
PB,66,2,180984.19,516
PE,178,5,376377.27,1605
PI,81,3,136779.96,481
PR,270,21,1064603.99,4840
RJ,1835,69,2769347.44,12303
RN,54,0,116264.9,471
RO,11,1,65886.0,235
RR,5,1,12462.21,45
RS,422,23,1147277.0,5249
SC,394,15,786343.71,3513
SE,61,0,88437.51,338
SP,2679,293,7597209.66,39981
TO,38,1,72281.17,272
